objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,IMG_3887,,,Screen reader recording,David Johnson,2013,A screenshot of a word document full of 0’s with one 1 hidden inside a long paragraph. Also an audio reading the document aloud,,"Knoxville, TN",35.9647,-83.9265,Ewing Gallery,,Image and Audio,image/jpeg,eng,Ewing Gallery,https://github.com/addsretz1206/ewing_2026/blob/main/IMG_3887%202.jpeg
coll003,IMG_3888,,,Cattywampus Puppet Council,Emily Morin,2024,"A large plush made out of fabric, foam, and chicken wire to create a comfy lounge area for the sensory room ",,"Knoxville, TN",35.9647,-83.9265,Ewing Gallery,,Physical Object,image/jpeg,eng,Ewing Gallery,https://github.com/addsretz1206/ewing_2026/blob/main/IMG_3888%202.jpeg
coll004,IMG_3889,,,Classified digits,Christine Sun Kim,2016,A video displaying the unique grammatical structure of American Sign Language to represent complicated social interactions ,,"Knoxville, TN",35.9647,-83.9265,Ewing Gallery,,Moving FIlm,image/jpeg,eng,Ewing Gallery,https://github.com/addsretz1206/ewing_2026/blob/main/IMG_3889%202.jpeg
coll005,IMG_3890,,,Carousel,Elizabeth Jameson,2010,A digital collage of etching artworks of artist’s brain in MRIs,,"Knoxville, TN",35.9647,-83.9265,Ewing Gallery,,Image,image/jpeg,eng,Ewing Gallery,https://github.com/addsretz1206/ewing_2026/blob/main/IMG_3890%202.jpeg
coll006,IMG_3891,,,Kamen's Lens (4),Rebecca Kamen,2011,Acrylic ink of mylar showing a specific part of the human brain ,,"Knoxville, TN",35.9647,-83.9265,Ewing Gallery,,Image,image/jpeg,eng,Ewing Gallery,https://github.com/addsretz1206/ewing_2026/blob/main/IMG_3891%202.jpeg
coll007,IMG_3892,,,Citrus Corners,"David Johnson
",2012,"8 objects made out of cast plaster, paint, and plexiglas",,"Knoxville, TN",35.9647,-83.9265,Ewing Gallery,,Physical Object,image/jpeg,eng,Ewing Gallery,https://github.com/addsretz1206/ewing_2026/blob/main/IMG_3892%202.jpeg
